effect_id,parameter,base_value,low_value,high_value,base_neutral,low_neutral,high_neutral,pct_change_low,pct_change_high
chicken_corporate_campaigns,fund_split_pct,0.46,0.23,0.69,1.893e+06,9.466e+05,2.84e+06,-50%,+50%
chicken_corporate_campaigns,persistence_years,8,4,12,1.893e+06,9.466e+05,2.84e+06,-50%,+50%
policy_advocacy_multi_species,fund_split_pct,0.2,0.1,0.3,5.8e+05,2.9e+05,8.7e+05,-50%,+50%
policy_advocacy_multi_species,persistence_years,8,4,12,5.8e+05,2.9e+05,8.7e+05,-50%,+50%
movement_building,fund_split_pct,0.26,0.13,0.39,4.733e+05,2.367e+05,7.1e+05,-50%,+50%
movement_building,persistence_years,10,5,15,4.733e+05,2.367e+05,7.1e+05,-50%,+50%
fish_welfare,fund_split_pct,0.04,0.02,0.06,3.031e+05,1.516e+05,4.546e+05,-50%,+50%
fish_welfare,persistence_years,5,2.5,7.5,3.031e+05,1.516e+05,4.546e+05,-50%,+50%
shrimp_welfare,fund_split_pct,0.03,0.015,0.045,6.148e+04,3.074e+04,9.222e+04,-50%,+50%
shrimp_welfare,persistence_years,5,2.5,7.5,6.148e+04,3.074e+04,9.222e+04,-50%,+50%
invertebrate_welfare,fund_split_pct,0.006,0.003,0.009,2.847e+06,1.423e+06,4.27e+06,-50%,+50%
invertebrate_welfare,persistence_years,5,2.5,7.5,2.847e+06,1.423e+06,4.27e+06,-50%,+50%
wild_animal_welfare,fund_split_pct,0.003,0.0015,0.0045,2.664e+04,1.332e+04,3.996e+04,-50%,+50%
wild_animal_welfare,persistence_years,15,7.5,22.5,2.664e+04,1.332e+04,3.996e+04,-50%,+50%
